,brick,Cód. Filial
290,1266 - LAGES,414
291,1266 - LAGES,446
292,1266 - LAGES,494
293,1267 - SAO JOAQUIM,972
294,1268 - TUBARAO,550
295,1268 - TUBARAO,363
296,1268 - TUBARAO,291
297,1268 - TUBARAO,771
298,1268 - TUBARAO,801
299,1268 - TUBARAO,811
300,1268 - TUBARAO,865
301,1268 - TUBARAO,936
302,1268 - TUBARAO,978
303,1268 - TUBARAO,432
304,1268 - TUBARAO,459
305,1268 - TUBARAO,474
306,1268 - TUBARAO,544
307,1268 - TUBARAO,642
308,1268 - TUBARAO,213
309,1269 - CRICIUMA,217
310,1269 - CRICIUMA,107
311,1269 - CRICIUMA,634
312,1269 - CRICIUMA,689
313,1269 - CRICIUMA,776
314,1269 - CRICIUMA,832
315,1269 - CRICIUMA,838
316,1269 - CRICIUMA,892
317,1269 - CRICIUMA,939
318,1269 - CRICIUMA,977
319,1269 - CRICIUMA,433
320,1269 - CRICIUMA,429
321,1269 - CRICIUMA,435
322,1269 - CRICIUMA,488
323,1269 - CRICIUMA,632
324,1269 - CRICIUMA,315
325,1270 - ARARANGUA,110
326,1270 - ARARANGUA,822
327,1270 - ARARANGUA,952
328,1271 - BLUM.L.FREITAS,136
329,1271 - BLUM.L.FREITAS,747
330,1271 - BLUM.L.FREITAS,856
331,1271 - BLUM.L.FREITAS,663
332,1273 - BLUM.AMAZONAS,97
333,1273 - BLUM.AMAZONAS,615
334,1273 - BLUM.AMAZONAS,673
335,1273 - BLUM.AMAZONAS,760
336,1273 - BLUM.AMAZONAS,766
337,1273 - BLUM.AMAZONAS,785
338,1273 - BLUM.AMAZONAS,789
339,1273 - BLUM.AMAZONAS,875
340,1273 - BLUM.AMAZONAS,940
341,1273 - BLUM.AMAZONAS,575
342,1273 - BLUM.AMAZONAS,573
343,1273 - BLUM.AMAZONAS,633
344,1273 - BLUM.AMAZONAS,322
345,1273 - BLUM.AMAZONAS,201
346,1273 - BLUM.AMAZONAS,360
347,1273 - BLUM.AMAZONAS,207
348,1273 - BLUM.AMAZONAS,211
349,1273 - BLUM.AMAZONAS,368
350,1274 - MASSARANDUBA,330
351,1274 - MASSARANDUBA,893
352,1274 - MASSARANDUBA,657
353,1275 - TIMBO,445
354,1275 - TIMBO,372
355,1275 - TIMBO,725
356,1275 - TIMBO,440
357,1276 - RIO DO SUL,336
358,1276 - RIO DO SUL,752
359,1276 - RIO DO SUL,817
360,1276 - RIO DO SUL,421
361,1277 - JOINV. - CENTRO,149
362,1277 - JOINV. - CENTRO,563
363,1277 - JOINV. - CENTRO,628
364,1277 - JOINV. - CENTRO,702
365,1277 - JOINV. - CENTRO,786
366,1277 - JOINV. - CENTRO,203
367,1277 - JOINV. - CENTRO,688
368,1277 - JOINV. - CENTRO,13
369,1277 - JOINV. - CENTRO,737
370,1277 - JOINV. - CENTRO,773
371,1277 - JOINV. - CENTRO,800
372,1277 - JOINV. - CENTRO,904
373,1277 - JOINV. - CENTRO,495
374,1277 - JOINV. - CENTRO,522
375,1278 - JOINV. - AMERICA,728
376,1278 - JOINV. - AMERICA,741
377,1278 - JOINV. - AMERICA,790
378,1278 - JOINV. - AMERICA,890
379,1278 - JOINV. - AMERICA,436
380,1278 - JOINV. - AMERICA,600
381,1278 - JOINV. - AMERICA,308
382,1278 - JOINV. - AMERICA,769
383,1278 - JOINV. - AMERICA,768
384,1279 - JOINV. - BAIRROS,152
385,1279 - JOINV. - BAIRROS,246
386,1279 - JOINV. - BAIRROS,589
387,1279 - JOINV. - BAIRROS,647
388,1279 - JOINV. - BAIRROS,686
389,1279 - JOINV. - BAIRROS,692
390,1279 - JOINV. - BAIRROS,722
391,1279 - JOINV. - BAIRROS,730
392,1279 - JOINV. - BAIRROS,745
393,1279 - JOINV. - BAIRROS,750
394,1279 - JOINV. - BAIRROS,698
395,1279 - JOINV. - BAIRROS,763
396,1279 - JOINV. - BAIRROS,781
397,1279 - JOINV. - BAIRROS,782
398,1279 - JOINV. - BAIRROS,802
399,1279 - JOINV. - BAIRROS,820
400,1279 - JOINV. - BAIRROS,852
401,1279 - JOINV. - BAIRROS,870
402,1279 - JOINV. - BAIRROS,889
403,1279 - JOINV. - BAIRROS,922
404,1279 - JOINV. - BAIRROS,942
405,1279 - JOINV. - BAIRROS,954
406,1279 - JOINV. - BAIRROS,974
407,1279 - JOINV. - BAIRROS,475
408,1279 - JOINV. - BAIRROS,521
409,1279 - JOINV. - BAIRROS,537
410,1279 - JOINV. - BAIRROS,588
411,1279 - JOINV. - BAIRROS,611
412,1279 - JOINV. - BAIRROS,578
413,1279 - JOINV. - BAIRROS,649
414,1279 - JOINV. - BAIRROS,680
415,1279 - JOINV. - BAIRROS,339
416,1279 - JOINV. - BAIRROS,342
417,1279 - JOINV. - BAIRROS,346
418,1279 - JOINV. - BAIRROS,350
419,1280 - S.FRANCISCO SUL,178
420,1280 - S.FRANCISCO SUL,84
421,1280 - S.FRANCISCO SUL,547
422,1280 - S.FRANCISCO SUL,694
423,1280 - S.FRANCISCO SUL,697
424,1280 - S.FRANCISCO SUL,926
425,1280 - S.FRANCISCO SUL,651
426,1280 - S.FRANCISCO SUL,332
427,1280 - S.FRANCISCO SUL,749
428,1280 - S.FRANCISCO SUL,758
429,1280 - S.FRANCISCO SUL,774
430,1280 - S.FRANCISCO SUL,791
431,1280 - S.FRANCISCO SUL,824
432,1280 - S.FRANCISCO SUL,855
433,1280 - S.FRANCISCO SUL,880
434,1280 - S.FRANCISCO SUL,881
435,1280 - S.FRANCISCO SUL,914
