,brick,Cód. Filial
536,1327 - CAXIAS - FATIMA,481
537,1327 - CAXIAS - FATIMA,538
538,1327 - CAXIAS - FATIMA,586
539,1327 - CAXIAS - FATIMA,595
540,1327 - CAXIAS - FATIMA,623
541,1327 - CAXIAS - FATIMA,678
542,1327 - CAXIAS - FATIMA,333
543,1328 - CAXIAS - S.VENDELINO,390
544,1328 - CAXIAS - S.VENDELINO,410
545,1328 - CAXIAS - S.VENDELINO,531
546,1328 - CAXIAS - S.VENDELINO,587
547,1328 - CAXIAS - S.VENDELINO,596
548,1328 - CAXIAS - S.VENDELINO,630
549,1330 - FARROPILHA,828
550,1330 - FARROPILHA,437
551,1331 - VACARIA,447
552,1331 - VACARIA,462
553,1333 - L.VERMELHA,546
554,1336 - TORRES,403
555,1339 - BENTO GONCALVES,815
556,1339 - BENTO GONCALVES,448
557,1339 - BENTO GONCALVES,467
558,1339 - BENTO GONCALVES,541
559,1339 - BENTO GONCALVES,554
560,1339 - BENTO GONCALVES,590
561,1340 - POÇO DAS ANTAS,405
562,1341 - VENANCIO AIRES,392
563,1341 - VENANCIO AIRES,597
564,1342 - LAGEADO,585
565,1349 - PELOTAS - GAL.OSORIO,389
566,1349 - PELOTAS - GAL.OSORIO,485
567,1349 - PELOTAS - GAL.OSORIO,490
568,1349 - PELOTAS - GAL.OSORIO,509
569,1349 - PELOTAS - GAL.OSORIO,636
570,1352 - RIO GRANDE,932
571,1352 - RIO GRANDE,387
572,1360 - STA.CRUZ DO SUL,543
573,1362 - S.M.ACAMPAMENTO,510
574,1363 - SANTA MARIA,468
575,1372 - CRUZ ALTA,449
576,1375 - PANAMBI,620
577,1380 - IJUI,517
578,1381 - SANTO ANGELO,476
579,1382 - SANTA ROSA,484
580,1383 - PASSO FUNDO,884
581,1383 - PASSO FUNDO,883
582,1383 - PASSO FUNDO,457
583,1383 - PASSO FUNDO,503
584,1383 - PASSO FUNDO,526
585,1383 - PASSO FUNDO,621
